#{"t_start": 1770576848.9145932, "env_id": "None"}
r,l,t
-32.200045,1,2.148103
100.0,1,2.148846
-9.264905,1,2.149696
-25.809011,1,2.150405
-20.659187,1,2.151111
-20.493138,1,2.151829
-4.662836,1,2.152598
-22.468891,1,2.153381
-33.523336,1,2.154088
-16.830701,1,2.155004
-28.645328,1,2.155759
-13.37284,1,2.156479
-24.66434,1,2.157187
-14.240063,1,2.15791
-6.532082,1,2.15867
-28.006881,1,2.159547
-7.698366,1,2.160331
-8.549049,1,2.161111
-14.21615,1,2.16192
-21.562138,1,2.162709
-24.768803,1,2.163766
-23.551535,1,2.164476
-9.16608,1,2.165209
-4.834225,1,2.165996
-32.58697,1,2.166718
-24.675498,1,2.167619
-27.460917,1,2.168335
-33.514807,1,2.169041
-4.245248,1,2.170005
-15.823327,1,2.170722
-8.409384,1,2.171531
-25.233274,1,2.172466
-25.691824,1,2.173526
-22.251448,1,2.174237
-31.941181,1,2.17495
-16.38467,1,2.175665
-4.201593,1,2.176422
100.0,1,2.177133
-29.408451,1,2.177847
-21.93599,1,2.178562
-20.484682,1,2.179267
-26.703114,1,2.179976
-26.400317,1,2.180687
-2.168359,1,2.181425
-20.477229,1,2.182183
-30.737489,1,2.182896
-19.841049,1,2.183615
-34.767266,1,2.184323
-27.669209,1,2.185032
100.0,1,2.185764
-13.2479,1,2.186529
-14.794133,1,2.187354
-14.868825,1,2.188394
-29.586548,1,2.189123
-15.561884,1,2.18996
-19.592487,1,2.190673
-19.419298,1,2.191376
-25.211826,1,2.192213
-5.145684,1,2.192929
-23.625142,1,2.193638
-5.804421,1,2.194394
-2.511484,1,2.195108
-32.50092,1,2.196156
100.0,1,2.196956
-23.843296,1,2.197696
-25.496496,1,2.198403
-11.251104,1,2.199447
-26.263065,1,2.200164
-2.271423,1,2.200922
-18.17784,1,2.201634
-24.858535,1,2.202343
-5.429767,1,2.20311
-31.377699,1,2.203826
-11.048725,1,2.204629
-27.822897,1,2.205344
-23.801858,1,2.206284
-8.708171,1,2.206994
-19.404111,1,2.207709
-26.868809,1,2.20859
-15.319782,1,2.209451
-19.165731,1,2.210171
-20.831682,1,2.210884
-25.63461,1,2.211597
-20.597245,1,2.212302
100.0,1,2.213022
